,experimentVariant,hits
318,Контрольная,39
319,Контрольная,37
320,Контрольная,36
321,Контрольная,44
322,Контрольная,44
323,Контрольная,33
324,Контрольная,68
325,Контрольная,157
326,Контрольная,90
327,Контрольная,40
328,Контрольная,38
329,Контрольная,110
330,Контрольная,47
331,Контрольная,27
332,Контрольная,40
333,Контрольная,38
334,Контрольная,28
335,Контрольная,144
336,Контрольная,26
337,Контрольная,85
338,Контрольная,33
339,Контрольная,37
340,Контрольная,28
341,Контрольная,38
342,Контрольная,30
343,Контрольная,31
344,Контрольная,37
345,Контрольная,55
346,Контрольная,34
347,Контрольная,30
348,Контрольная,30
349,Контрольная,98
350,Контрольная,43
351,Контрольная,54
352,Контрольная,44
353,Контрольная,52
354,Контрольная,58
355,Контрольная,26
356,Контрольная,29
357,Контрольная,34
358,Контрольная,36
359,Контрольная,27
360,Контрольная,57
361,Контрольная,30
362,Контрольная,157
363,Контрольная,47
364,Контрольная,26
365,Контрольная,35
366,Контрольная,84
367,Контрольная,37
368,Контрольная,52
369,Контрольная,33
370,Контрольная,29
371,Контрольная,33
372,Контрольная,29
373,Контрольная,45
374,Контрольная,28
375,Контрольная,27
376,Контрольная,26
377,Контрольная,55
378,Контрольная,202
379,Контрольная,31
380,Контрольная,55
381,Контрольная,72
382,Контрольная,142
383,Контрольная,80
384,Контрольная,31
385,Контрольная,29
386,Контрольная,39
387,Контрольная,27
388,Контрольная,32
389,Контрольная,32
390,Контрольная,34
391,Контрольная,34
392,Контрольная,49
393,Контрольная,49
394,Контрольная,43
395,Контрольная,29
396,Контрольная,49
397,Контрольная,27
398,Контрольная,95
399,Контрольная,113
400,Контрольная,28
401,Контрольная,61
402,Контрольная,30
403,Контрольная,28
404,Контрольная,44
405,Контрольная,53
406,Контрольная,35
407,Контрольная,86
408,Контрольная,62
409,Контрольная,27
410,Контрольная,31
411,Контрольная,34
412,Контрольная,35
413,Контрольная,213
414,Контрольная,56
415,Контрольная,56
416,Контрольная,26
417,Контрольная,98
418,Контрольная,646
419,Контрольная,40
420,Контрольная,36
421,Контрольная,129
422,Контрольная,45
423,Контрольная,42
424,Контрольная,56
425,Контрольная,96
426,Контрольная,49
427,Контрольная,65
428,Контрольная,88
429,Контрольная,37
430,Контрольная,36
431,Контрольная,44
432,Контрольная,85
433,Контрольная,59
434,Контрольная,34
435,Контрольная,33
436,Контрольная,45
437,Контрольная,26
438,Контрольная,40
439,Контрольная,33
440,Контрольная,51
441,Контрольная,42
442,Контрольная,46
443,Контрольная,33
444,Контрольная,112
445,Контрольная,28
446,Контрольная,227
447,Контрольная,28
448,Контрольная,110
449,Контрольная,59
450,Контрольная,42
451,Контрольная,34
452,Контрольная,33
453,Контрольная,44
454,Контрольная,42
455,Контрольная,38
456,Контрольная,52
457,Контрольная,27
458,Контрольная,102
459,Контрольная,37
460,Контрольная,39
461,Контрольная,175
462,Контрольная,28
463,Контрольная,26
464,Контрольная,43
465,Контрольная,35
466,Контрольная,31
467,Контрольная,40
468,Контрольная,26
469,Контрольная,78
470,Контрольная,30
471,Контрольная,70
472,Контрольная,43
473,Контрольная,99
474,Контрольная,66
475,Контрольная,28
476,Контрольная,50
477,Контрольная,36
478,Контрольная,52
479,Контрольная,102
480,Контрольная,66
481,Контрольная,27
482,Контрольная,35
483,Контрольная,49
484,Контрольная,110
485,Контрольная,39
486,Контрольная,40
487,Контрольная,56
488,Контрольная,45
489,Контрольная,42
490,Контрольная,29
491,Контрольная,98
492,Контрольная,132
493,Контрольная,46
494,Контрольная,54
495,Контрольная,27
496,Контрольная,138
497,Контрольная,72
498,Контрольная,34
499,Контрольная,32
500,Контрольная,30
501,Контрольная,29
502,Контрольная,26
503,Контрольная,179
504,Контрольная,36
505,Контрольная,144
506,Контрольная,88
507,Контрольная,32
508,Контрольная,39
509,Контрольная,187
510,Контрольная,35
511,Контрольная,48
512,Контрольная,29
513,Контрольная,147
514,Контрольная,31
515,Контрольная,32
516,Контрольная,44
517,Контрольная,32
518,Контрольная,26
519,Контрольная,40
520,Контрольная,74
521,Контрольная,40
522,Контрольная,113
523,Контрольная,76
524,Контрольная,33
525,Контрольная,37
526,Контрольная,33
527,Контрольная,34
528,Контрольная,30
529,Контрольная,36
530,Контрольная,98
531,Контрольная,89
532,Контрольная,51
533,Контрольная,43
534,Контрольная,39
535,Контрольная,46
536,Контрольная,27
537,Контрольная,33
538,Контрольная,68
539,Контрольная,101
540,Контрольная,36
541,Контрольная,51
542,Контрольная,92
543,Контрольная,68
544,Контрольная,51
545,Контрольная,77
546,Контрольная,46
547,Контрольная,826
548,Контрольная,57
549,Контрольная,96
550,Контрольная,42
551,Контрольная,26
552,Контрольная,37
553,Контрольная,38
554,Контрольная,61
555,Контрольная,28
556,Контрольная,194
557,Контрольная,54
558,Контрольная,54
559,Контрольная,55
560,Контрольная,35
561,Контрольная,47
562,Контрольная,36
563,Контрольная,37
564,Контрольная,246
565,Контрольная,36
566,Контрольная,34
567,Контрольная,61
568,Контрольная,76
569,Контрольная,46
570,Контрольная,153
571,Контрольная,62
572,Контрольная,32
573,Контрольная,28
574,Контрольная,73
575,Контрольная,28
576,Контрольная,255
577,Контрольная,27
578,Контрольная,66
579,Контрольная,74
580,Контрольная,31
581,Контрольная,50
582,Контрольная,50
583,Контрольная,49
584,Контрольная,36
585,Контрольная,26
586,Контрольная,37
587,Контрольная,32
588,Контрольная,84
589,Контрольная,149
590,Контрольная,99
591,Контрольная,202
592,Контрольная,28
593,Контрольная,263
594,Контрольная,306
595,Контрольная,45
596,Контрольная,59
597,Контрольная,45
598,Контрольная,28
599,Контрольная,31
600,Контрольная,31
601,Контрольная,37
602,Контрольная,30
603,Контрольная,31
604,Контрольная,28
605,Контрольная,34
606,Контрольная,26
607,Контрольная,44
608,Контрольная,570
609,Контрольная,74
610,Контрольная,61
611,Контрольная,34
612,Контрольная,37
613,Контрольная,44
614,Контрольная,67
615,Контрольная,27
616,Контрольная,125
617,Контрольная,26
618,Контрольная,30
619,Контрольная,116
620,Контрольная,50
621,Контрольная,71
622,Контрольная,72
623,Контрольная,48
624,Контрольная,44
625,Контрольная,30
626,Контрольная,26
627,Контрольная,28
628,Контрольная,26
629,Контрольная,38
630,Контрольная,37
631,Контрольная,29
632,Контрольная,31
633,Контрольная,113
634,Контрольная,39
635,Контрольная,33
636,Контрольная,69
637,Контрольная,40
638,Контрольная,26
639,Контрольная,33
640,Контрольная,27
641,Контрольная,55
642,Контрольная,49
643,Контрольная,37
644,Контрольная,31
645,Контрольная,53
646,Контрольная,32
647,Контрольная,30
648,Контрольная,92
649,Контрольная,29
650,Контрольная,38
651,Контрольная,37
652,Контрольная,28
653,Контрольная,39
654,Контрольная,46
655,Контрольная,47
656,Контрольная,27
657,Контрольная,42
658,Контрольная,46
659,Контрольная,53
660,Контрольная,32
661,Контрольная,101
662,Контрольная,47
663,Контрольная,52
664,Контрольная,57
665,Контрольная,108
666,Контрольная,66
667,Контрольная,41
668,Контрольная,36
669,Контрольная,46
670,Контрольная,58
671,Контрольная,28
672,Контрольная,117
673,Контрольная,46
674,Контрольная,30
675,Контрольная,26
676,Контрольная,28
677,Контрольная,98
678,Контрольная,30
679,Контрольная,92
680,Контрольная,34
681,Контрольная,32
682,Контрольная,60
683,Контрольная,65
684,Контрольная,111
685,Контрольная,30
686,Контрольная,29
687,Контрольная,66
688,Контрольная,37
689,Контрольная,34
690,Контрольная,268
691,Контрольная,255
692,Контрольная,233
693,Контрольная,69
694,Контрольная,85
695,Контрольная,38
696,Контрольная,26
697,Контрольная,35
698,Контрольная,26
699,Контрольная,27
700,Контрольная,82
701,Контрольная,35
702,Контрольная,33
703,Контрольная,47
704,Контрольная,26
705,Контрольная,27
706,Контрольная,41
707,Контрольная,49
708,Контрольная,26
709,Контрольная,44
710,Контрольная,147
711,Контрольная,42
712,Контрольная,45
713,Контрольная,46
714,Контрольная,35
715,Контрольная,86
716,Контрольная,106
717,Контрольная,31
718,Контрольная,27
719,Контрольная,67
720,Контрольная,72
721,Контрольная,106
722,Контрольная,28
723,Контрольная,45
724,Контрольная,34
725,Контрольная,41
726,Контрольная,39
727,Контрольная,31
728,Контрольная,34
729,Контрольная,27
730,Контрольная,33
731,Контрольная,47
732,Контрольная,30
733,Контрольная,110
734,Контрольная,35
735,Контрольная,38
736,Контрольная,44
737,Контрольная,39
738,Контрольная,69
739,Контрольная,29
740,Контрольная,62
741,Контрольная,52
742,Контрольная,30
743,Контрольная,30
744,Контрольная,27
745,Контрольная,84
746,Контрольная,41
747,Контрольная,27
748,Контрольная,28
749,Контрольная,38
750,Контрольная,38
751,Контрольная,32
752,Контрольная,29
753,Контрольная,74
754,Контрольная,31
755,Контрольная,78
756,Контрольная,132
757,Контрольная,34
758,Контрольная,40
759,Контрольная,30
760,Контрольная,40
761,Контрольная,32
762,Контрольная,34
763,Контрольная,62
764,Контрольная,29
765,Контрольная,42
766,Контрольная,32
767,Контрольная,57
768,Контрольная,34
769,Контрольная,33
770,Контрольная,102
771,Контрольная,81
772,Контрольная,62
773,Контрольная,27
774,Контрольная,91
775,Контрольная,125
776,Контрольная,60
777,Контрольная,82
778,Контрольная,55
779,Контрольная,43
780,Контрольная,54
781,Контрольная,30
782,Контрольная,33
783,Контрольная,31
784,Контрольная,113
785,Контрольная,52
786,Контрольная,31
787,Контрольная,103
788,Контрольная,36
789,Контрольная,32
790,Контрольная,41
791,Контрольная,35
792,Контрольная,48
793,Контрольная,40
794,Контрольная,51
795,Контрольная,38
796,Контрольная,64
797,Контрольная,27
798,Контрольная,47
799,Контрольная,33
800,Контрольная,51
801,Контрольная,27
802,Контрольная,35
803,Контрольная,27
804,Контрольная,51
805,Контрольная,27
806,Контрольная,36
807,Контрольная,26
808,Контрольная,37
809,Контрольная,67
810,Контрольная,61
811,Контрольная,29
812,Контрольная,32
813,Контрольная,34
814,Контрольная,289
815,Контрольная,34
816,Контрольная,131
817,Контрольная,31
818,Контрольная,107
819,Контрольная,508
820,Контрольная,47
821,Контрольная,48
822,Контрольная,284
823,Контрольная,50
824,Контрольная,50
825,Контрольная,32
826,Контрольная,32
827,Контрольная,30
828,Контрольная,39
829,Контрольная,42
830,Контрольная,61
831,Контрольная,29
832,Контрольная,39
833,Контрольная,67
834,Контрольная,72
835,Контрольная,42
836,Контрольная,167
837,Контрольная,43
838,Контрольная,60
839,Контрольная,26
840,Контрольная,27
841,Контрольная,39
842,Контрольная,212
843,Контрольная,37
844,Контрольная,28
845,Контрольная,32
846,Контрольная,112
847,Контрольная,66
848,Контрольная,42
849,Контрольная,37
850,Контрольная,44
851,Контрольная,105
852,Контрольная,287
853,Контрольная,192
854,Контрольная,138
855,Контрольная,34
856,Контрольная,34
857,Контрольная,46
858,Контрольная,32
859,Контрольная,101
860,Контрольная,131
861,Контрольная,31
862,Контрольная,37
863,Контрольная,61
864,Контрольная,84
865,Контрольная,31
866,Контрольная,62
867,Контрольная,66
868,Контрольная,29
869,Контрольная,56
870,Контрольная,33
871,Контрольная,217
872,Контрольная,47
873,Контрольная,30
874,Контрольная,29
875,Контрольная,38
876,Контрольная,51
877,Контрольная,27
878,Контрольная,29
879,Контрольная,30
880,Контрольная,58
881,Контрольная,26
882,Контрольная,38
883,Контрольная,29
884,Контрольная,48
885,Контрольная,30
886,Контрольная,271
887,Контрольная,36
888,Контрольная,87
889,Контрольная,26
890,Контрольная,29
891,Контрольная,78
892,Контрольная,156
893,Контрольная,26
894,Контрольная,75
895,Контрольная,86
896,Контрольная,69
897,Контрольная,68
898,Контрольная,120
899,Контрольная,98
900,Контрольная,87
901,Контрольная,30
902,Контрольная,35
903,Контрольная,76
904,Контрольная,760
905,Контрольная,34
906,Контрольная,35
907,Контрольная,79
908,Контрольная,465
909,Контрольная,153
910,Контрольная,27
911,Контрольная,30
912,Контрольная,113
913,Контрольная,43
914,Контрольная,27
915,Контрольная,65
916,Контрольная,71
917,Контрольная,83
918,Контрольная,49
919,Контрольная,46
920,Контрольная,27
921,Контрольная,46
922,Контрольная,27
923,Контрольная,30
924,Контрольная,31
925,Контрольная,38
926,Контрольная,34
927,Контрольная,50
928,Контрольная,70
929,Контрольная,84
930,Контрольная,158
